百家号名称	百家号作者ID	手百ID	UserID	作者状态	是否原创	机构名称	主页	机构代码	
ZAEKE知客	1552591173933305	1552591174160203	2802419043	审核通过	是	深圳市知客数码科技有限公司	http://baijiahao.baidu.com/u?app_id=01552591174160203	91440300088417803U	
思翰电影	1566384600779168	1566384600855731	3025977186	审核通过	是	深圳市思翰文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01566384600855731	91440300MA5ECUEA74	
喷子贱	1563198081336376	1563198081611272	2195705586	审核通过	是	深圳夹子网络影视文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01563198081611272	91440300MA5DB4F12G	
丑8怪	1574700333933503	1574700334579939	3157377067	审核通过	是	深圳百家新媒体有限公司	http://baijiahao.baidu.com/u?app_id=01574700334579939	91440300MA5DPHJ60B	
尚医健康	1565619866734489	1565619867033184	2924077555	审核通过	是	尚一堂（北京）健康科技有限公司	http://baijiahao.baidu.com/u?app_id=01565619867033184	91110105MA008MGP7W	
momo爱旅游	1573794334989776	1573794335180712	2230938715	审核通过	是	上海庭味信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01573794335180712	91310109350865944A	
momo看世界	1573884390981380	1573884391625693	3038889482	审核通过	是	上海庭味信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01573884391625693	91310109350865944A	
momo黑科技	1573804890782603	1573804891333629	964703641	审核通过	是	上海庭味信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01573804891333629	91310109350865944A	
娱圈小扒	1573791332338940	1573791332914298	1298290038	审核通过	是	上海庭味信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01573791332914298	91310109350865944A	
光影人闻	1573887952010692	1573887952637441	1981771376	审核通过	是	上海庭味信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01573887952637441	91310109350865944A	
黑色望远镜	1574049786786779	1574049786957865	943464889	审核通过	是	上海庭味信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01574049786957865	91310109350865944A	
momo谈户外	1573793127541800	1573793128118216	614385852	审核通过	是	上海庭味信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01573793128118216	91310109350865944A	
momo说电影	1574050580720750	1574050581294915	3076375831	审核通过	是	上海庭味信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01574050581294915	91310109350865944A	
momo说历史	1573516905562119	1573516906094757	1084446057	审核通过	是	上海庭味信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01573516906094757	91310109350865944A	
动点科技	1568090887682061	1568090892573870	2065265211	审核通过	是	上海创言信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01568090892573870	913101105997544490	
四叶草影视	1551051549709534	1551051549964136	618776056	审核通过	是	陕西四叶草影视传媒有限公司	http://baijiahao.baidu.com/u?app_id=01551051549964136	91610132092773704H	
辰威兄弟影视	1560948686863000	1560948686984634	2935385248	审核通过	是	陕西辰威兄弟影视文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01560948686984634	91610113MA6TYR1D6X	
珊说育儿	1569456495809278	1569456500763651	3100967766	审核通过	是	山西曼克网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01569456500763651	911401093469151953	
乐谈历史	1577784338658038	1577784339225188	3256917137	审核通过	是	山西曼克网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01577784339225188	911401093469151953	
珊珊的妈妈	1557478527311557	1557478527369715	2873892513	审核通过	是	山西曼克网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01557478527369715	911401093469151953	
Run看世界	1574794424696700	1574794425298334	3160738346	审核通过	是	山西曼克网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01574794425298334	911401093469151953	
知闻科技	1539798205406790	1539798205406790	2652320094	审核通过	是	山西嘉世达机器人技术有限公司	http://baijiahao.baidu.com/u?app_id=01539798205406790	9114010005195703XX	
环球新军事	1549688877970220	1549688878028332	2634163397	审核通过	是	山西成宁科技有限公司	http://baijiahao.baidu.com/u?app_id=01549688878028332	91140100065587463Y	
映讯	1561809070942150	1561809071004570	1034256087	审核通过	是	山东映讯文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01561809071004570	91370102MA3CJX1C1D	
