百家号名称	百家号作者ID	手百ID	UserID	作者状态	是否原创	机构名称	主页
音乐人在线	1564647474452378	1564647474528143	2704955948	审核通过	是	星你音乐（北京）有限公司	http://baijiahao.baidu.com/u?app_id=01564647474528143
铁血观世界	1562212876666381	1562212876705486	2954236824	审核通过	是	太原世纪文景科技有限公司	http://baijiahao.baidu.com/u?app_id=01562212876705486
乌龙防务	1562649312092175	1562649312149606	2960804527	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01562649312149606
席老湿解说	1566336826663569	1566336826912903	759979295	审核通过	是	安徽勤远至伟文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01566336826912903
美食欧尼酱	1565028718415775	1565028718615622	1276220411	审核通过	是	北京爆红科技有限公司	http://baijiahao.baidu.com/u?app_id=01565028718615622
sikana学院	1565794527002605	1565794527075465	1273424465	审核通过	是	福州思佳纳文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01565794527075465
环球战情	1562650183808441	1562650183864849	2529290291	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01562650183864849
送历史个救生圈	1565270406002315	1565270406075569	3004635629	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01565270406075569
喷子贱	1563198081336376	1563198081611272	2195705586	审核通过	是	深圳夹子网络影视文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01563198081611272
图说时间	1566975337343915	1566975338513411	3036745555	审核通过	是	章贡区图说文化传媒中心	http://baijiahao.baidu.com/u?app_id=01566975338513411
尚医健康	1565619866734489	1565619867033184	2924077555	审核通过	是	尚一堂（北京）健康科技有限公司	http://baijiahao.baidu.com/u?app_id=01565619867033184
思翰电影	1566384600779168	1566384600855731	3025977186	审核通过	是	深圳市思翰文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01566384600855731
军迷圈2017	1562651735679991	1562651735753379	2960807058	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01562651735753379
游极	1564462269585385	1564462269662052	2551264579	审核通过	是	北京游极虚拟现实文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01564462269662052
沙丁鱼自由行	1563988687647054	1563988687741027	2852604616	审核通过	是	成都沙丁鱼风暴网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01563988687741027
买买菌	1569075693465433	1569075701785807	3089934201	审核通过	是	北京买买菌网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01569075701785807
珊说育儿	1569456495809278	1569456500763651	3100967766	审核通过	是	山西曼克网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01569456500763651
烽火军事	1568902131043008	1568902134465028	2407949169	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01568902134465028
我滴个天呐栏目	1569325614081076	1569325618904357	2680417217	审核通过	是	义乌市木易文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01569325618904357
大魔王料理	1573500792241050	1573500792871929	870915175	审核通过	是	厦门豚首互娱科技有限公司	http://baijiahao.baidu.com/u?app_id=01573500792871929
练瑜伽	1573511527580180	1573511528259951	2868983595	审核通过	是	厦门波罗密网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01573511528259951
军情问问问	1573149923784180	1573149923960819	2981072226	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01573149923960819
军备观察	1573226088635816	1573226088845780	3013489608	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01573226088845780
军事帝	1569984331947682	1569984336032587	3123873822	审核通过	是	武汉微联科技有限公司	http://baijiahao.baidu.com/u?app_id=01569984336032587
老李技能厂	1573640273530798	1573640273728114	3048627759	审核通过	是	滨州创点网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01573640273728114
现食研	1572267793613567	1572267794176849	2030632975	审核通过	是	马鞍山市沙间阁网络科技有限责任公司	http://baijiahao.baidu.com/u?app_id=01572267794176849
口杯饮食	1572586408592226	1572586408787122	2955090996	审核通过	是	滨州市创恩网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01572586408787122
职场小钢炮	1569978836591321	1569978841280331	1921135396	审核通过	是	北京伙伴领地品牌咨询有限公司	http://baijiahao.baidu.com/u?app_id=01569978841280331
兰州街访	1570153102091588	1570153106252485	2698941777	审核通过	是	兰州新媒无限网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01570153106252485
萝卜汽车car	1572071840720505	1572071840891961	2887250396	审核通过	是	北京维度空间文化发展有限公司	http://baijiahao.baidu.com/u?app_id=01572071840891961
生活加简法	1573156735214281	1573156735402494	3007186362	审核通过	是	滨州市创恩网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01573156735402494
乐厨房	1569989814306588	1569989820466811	2271520916	审核通过	是	天津易乐堂网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01569989820466811
野鹅自驾	1569992600199587	1569992604970594	2701476634	审核通过	是	北京益途科技有限公司	http://baijiahao.baidu.com/u?app_id=01569992604970594
菜菜美食日记	1572797876182545	1572797876728300	2623100450	审核通过	是	广州智食网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01572797876728300
1080军事台	1573404336263271	1573404336498782	3028625357	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01573404336498782
momo爱旅游	1573794334989776	1573794335180712	2230938715	审核通过	是	上海庭味信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01573794335180712
健康报	1574512611866933	1574512612092133	162294445	审核通过	是	《健康报》社	http://baijiahao.baidu.com/u?app_id=01574512612092133
大众摄影	1573317540160981	1573317540310023	3014839801	审核通过	是	《大众摄影》杂志社	http://baijiahao.baidu.com/u?app_id=01573317540310023
玩具口袋	1570159532406449	1570159538911508	2073074080	审核通过	是	北京易世联科技有限公司	http://baijiahao.baidu.com/u?app_id=01570159538911508
萝卜厨房	1572065984708211	1572065984889484	2912177006	审核通过	是	北京维度空间文化发展有限公司	http://baijiahao.baidu.com/u?app_id=01572065984889484
童画城堡	1577044774497117	1577044774654146	3235855764	审核通过	是	长春侃侃影视文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01577044774654146
遇言不止	1575875644004246	1575875644146381	2931053183	审核通过	是	北京玲兰文化有限公司	http://baijiahao.baidu.com/u?app_id=01575875644146381
WannaBuy	1577941205360131	1577941205876769	3260552158	审核通过	是	北京一闪互动文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01577941205876769
阿饱小妙招	1576482681118277	1576482681298087	3218958095	审核通过	是	滨州市创恩网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01576482681298087
凯乐看世界	1577409345473269	1577409346198256	3246228416	审核通过	是	四平市凯乐影视文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01577409346198256
乐谈历史	1577784338658038	1577784339225188	3256917137	审核通过	是	山西曼克网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01577784339225188
黑娃技能厂	1576319771634707	1576319771788312	3213998285	审核通过	是	滨州市创恩网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01576319771788312
珊珊的妈妈	1557478527311557	1557478527369715	2873892513	审核通过	是	山西曼克网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01557478527369715
A电竞	1559361504428918	1559361504510631	2908975041	审核通过	是	重庆游渝文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01559361504510631
美食攻略100分	1550432016669906	1550432016679329	2464768203	审核通过	是	长沙微点电子商务有限公司	http://baijiahao.baidu.com/u?app_id=01550432016679329
贝乐虎儿歌	1549942481305259	1549942481519916	2121670362	审核通过	是	乐擎网络科技（上海）有限公司	http://baijiahao.baidu.com/u?app_id=01549942481519916
辰威兄弟影视	1560948686863000	1560948686984634	2935385248	审核通过	是	陕西辰威兄弟影视文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01560948686984634
新一条	1550128451553177	1550128451624149	2028946594	审核通过	是	青岛联合影像文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01550128451624149
有梗	1548510513476826	1548510513666712	1437931556	审核通过	是	广州麦格尼菲文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01548510513666712
食姐	1561051625141706	1561051625181288	2936363594	审核通过	是	长沙圆点电子商务有限公司	http://baijiahao.baidu.com/u?app_id=01561051625181288
小颖说体育	1548600452406877	1548600452465298	2481078210	审核通过	是	济南微端文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01548600452465298
人人视频	1563996947850641	1563996947927117	2933795140	审核通过	是	武汉映象网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01563996947927117
游戏大咖说	1564547403852243	1564547403918085	2990977544	审核通过	是	南京颂拓网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01564547403918085
居小仙	1567714197204043	1567714202146244	3051145956	审核通过	是	广州达咖信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01567714202146244
动点科技	1568090887682061	1568090892573870	2065265211	审核通过	是	上海创言信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01568090892573870
每日视野	1567606264509751	1567606271660054	3050024087	审核通过	是	广州酷刻传媒有限公司	http://baijiahao.baidu.com/u?app_id=01567606271660054
了不起我的国	1568968345844237	1568968351337444	3088216372	审核通过	是	北京点兵文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01568968351337444
Run看世界	1574794424696700	1574794425298334	3160738346	审核通过	是	山西曼克网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01574794425298334
泉州舌尖美食	1575312510708688	1575312511438348	3176401345	审核通过	是	泉州卓恩网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01575312511438348
国防时报排头兵	1554288521375689	1554288521444797	1243393886	审核通过	是	国防时报社	http://baijiahao.baidu.com/u?app_id=01554288521444797
知临影视	1552567789163308	1552567789411639	2694233623	审核通过	是	北京知临影视文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01552567789411639
胖子食堂	1547056294966406	1547056295052736	2765639828	审核通过	是	济南斯凯文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01547056295052736
溜溜达达看世界	1552480024037182	1552480024106156	2801307510	审核通过	是	天津火星文化有限公司	http://baijiahao.baidu.com/u?app_id=01552480024106156
萌人宝宝	1569060839411870	1569060843853493	619395671	审核通过	是	淄博萌人信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01569060843853493
格调厨房	1569052613212527	1569052617988453	3092440684	审核通过	是	淄博萌人信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01569052617988453
萌人旅行	1569264989493963	1569264995159312	523348775	审核通过	是	淄博萌人信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01569264995159312
萌人厨房	1568986266009819	1568986271867241	3090585064	审核通过	是	淄博萌人信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01568986271867241
萌人娱乐	1568993320565866	1568993325241313	884597885	审核通过	是	淄博萌人信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01568993325241313
萌人汽车	1568994725012090	1568994730218553	3090853947	审核通过	是	淄博萌人信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01568994730218553
宝宝早餐	1569264437173876	1569264441601569	259717489	审核通过	是	淄博萌人信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01569264441601569
萌人美妆	1568886231388892	1568886237621476	3087941467	审核通过	是	淄博萌人信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01568886237621476
格调娱乐	1568992952136826	1568992956931500	3090666177	审核通过	是	淄博萌人信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01568992956931500
momo看世界	1573884390981380	1573884391625693	3038889482	审核通过	是	上海庭味信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01573884391625693
momo黑科技	1573804890782603	1573804891333629	964703641	审核通过	是	上海庭味信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01573804891333629
啄木鸟美妆	1573861218920038	1573861219090712	3067409400	审核通过	是	枣庄啄木鸟影视传媒有限公司	http://baijiahao.baidu.com/u?app_id=01573861219090712
娱圈小扒	1573791332338940	1573791332914298	1298290038	审核通过	是	上海庭味信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01573791332914298
光影人闻	1573887952010692	1573887952637441	1981771376	审核通过	是	上海庭味信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01573887952637441
黑色望远镜	1574049786786779	1574049786957865	943464889	审核通过	是	上海庭味信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01574049786957865
momo谈户外	1573793127541800	1573793128118216	614385852	审核通过	是	上海庭味信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01573793128118216
momo说电影	1574050580720750	1574050581294915	3076375831	审核通过	是	上海庭味信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01574050581294915
momo说历史	1573516905562119	1573516906094757	1084446057	审核通过	是	上海庭味信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01573516906094757
啄木鸟美食	1573798785820194	1573798785981709	3062612900	审核通过	是	枣庄啄木鸟影视传媒有限公司	http://baijiahao.baidu.com/u?app_id=01573798785981709
丑8怪	1574700333933503	1574700334579939	3157377067	审核通过	是	深圳百家新媒体有限公司	http://baijiahao.baidu.com/u?app_id=01574700334579939
火星亲子	1548161417760353	1548161417839296	1274064963	审核通过	是	天津火星文化有限公司	http://baijiahao.baidu.com/u?app_id=01548161417839296
火星电影研究所	1548496606177980	1548496606225915	2734316553	审核通过	是	天津火星文化有限公司	http://baijiahao.baidu.com/u?app_id=01548496606225915
